code;pairCode;name;price;priceRatio;standardPrice;purchasePrice;purchasePriceVatRate;purchasePriceIncludingVat;actionPrice;maxDiscount;
"41715";;"Sada silikónových riadov GIANTS FISHING Eazi Utensil Set s podložkou";"16,64";"1";"16,64";"8,96";"23";"1";"16,64";;
"100624";;"Muškárska spojka ROBINSON Transparentná, 3 ks";"2,98";"1";"2,98";"1,46";"23";"1";"2,98";;
"33205";;"Dip MIKBAITS Mamut Krab & Halibut, 200 ml";"10,25";"1";"10,25";"6,42";"23";"1";"10,25";"10";
"66593";;"Čiapka QUANTUM Winter Cap Black/ Red Camou";"19,42";"1";"19,42";"8,79";"23";"1";"19,42";;
"13609";;"Plavák EXPERT predvážený";"8,40";"1";"8,40";"5,29";"23";"1";"8,40";;
"99602";"549";"Motor HONDA BF4AH";"1579,00";"1";"1579,00";"";"23";"1";"1579,00";"3";
"99603";"549";"Motor HONDA BF4AH";"1599,00";"1";"1599,00";"";"23";"1";"1599,00";"3";
"66667";"550";"Háčiky BLACK CAT Ghost Rig DG Coating";"10,50";"1";"10,50";"5,25";"23";"1";"10,50";;
"66705";"550";"Háčiky BLACK CAT Ghost Rig DG Coating";"10,50";"1";"10,50";"5,25";"23";"1";"10,50";;
"56124";;"Krmivo MIVARDI V1 Carp";"6,99";"1";"6,99";"3,85";"23";"1";"6,29";"10";
"100668";;"Vobler ROBINSON Hogan F70, 7cm, 11g, Red Head";"7,07";"1";"7,07";"3,36";"23";"1";"7,07";;
"14410";;"Pevná podlaha KOLIBRI KM330";"297,00";"1";"297,00";"222,75";"23";"1";"297,00";"10";
"56153";;"Krabička MIVARDI Mini 4";"2,04";"1";"2,04";"0,97";"23";"1";"1,84";"10";
"104298";;"Peračník STARBAITS Magnet Rig Box Large na nadväzce";"20,50";"1";"20,50";"9,44";"23";"1";"20,50";;
"41777";;"Plávajúci vážiaci sak GIANTS FISHING Weigh Sling Floating Gaube";"51,57";"1";"51,57";"26,23";"23";"1";"51,57";;
"100686";"551";"Vlasec METHOD FEEDER FANS Shock Profesional Carp Line Camo, 350 m";"8,19";"1";"8,19";"2,22";"23";"1";"8,19";;
"100687";"551";"Vlasec METHOD FEEDER FANS Shock Profesional Carp Line Camo, 350 m";"8,19";"1";"8,19";"2,22";"23";"1";"8,19";;
"100688";"551";"Vlasec METHOD FEEDER FANS Shock Profesional Carp Line Camo, 350 m";"8,99";"1";"8,99";"4,06";"23";"1";"8,99";;
"100689";"551";"Vlasec METHOD FEEDER FANS Shock Profesional Carp Line Camo, 350 m";"8,19";"1";"8,19";"2,22";"23";"1";"8,19";;
"66792";;"Nálepka RADICAL Bloody Chicken Sticker";"0,30";"1";"0,30";"0,14";"23";"1";"0,21";"30";
"90600";;"Moskytiéra na klobúk DELPHIN Shield C2G";"7,95";"1";"7,95";"4,28";"23";"1";"6,76";"25";
"14450";;"Akumulátor CJ 12V, 4,5Ah";"17,42";"1";"17,42";"11,51";"23";"1";"17,42";;
"56182";"552";"Boilie MIVARDI Rapid Platinum ProActive B17, 150 g";"3,69";"1";"3,69";"1,83";"23";"1";"3,32";"10";
"56183";"552";"Boilie MIVARDI Rapid Platinum ProActive B17, 150 g";"3,69";"1";"3,69";"1,83";"23";"1";"3,32";"10";
"104318";;"Method mix STARBAITS Grab&Go Global Whisky Cola, 1,8 kg";"7,29";"1";"7,29";"3,42";"23";"1";"7,29";;
"41808";;"Nerezový thermo hrnček Giants Fishing Black Stainless 400ML";"11,87";"1";"11,87";"6,04";"23";"1";"11,87";;
"100702";"553";"Vlasec METHOD FEEDER FANS Shock Profesional Carp Line Fluo, 650 m";"13,32";"1";"13,32";"3,61";"23";"1";"13,32";;
"100703";"553";"Vlasec METHOD FEEDER FANS Shock Profesional Carp Line Fluo, 650 m";"13,32";"1";"13,32";"3,61";"23";"1";"13,32";;
"100704";"553";"Vlasec METHOD FEEDER FANS Shock Profesional Carp Line Fluo, 650 m";"13,32";"1";"13,32";"3,61";"23";"1";"13,32";;
"66850";"554";"Puzdro RHINO Rod Protector, 2 ks";"12,20";"1";"12,20";"3,98";"23";"1";"12,20";;
"66851";"554";"Puzdro RHINO Rod Protector, 2 ks";"12,20";"1";"12,20";"3,98";"23";"1";"12,20";;
"90686";"555";"Vlasec DELPHIN Queen Carp ružový";"8,50";"1";"8,50";"4,37";"23";"1";"7,23";"25";
"90687";"555";"Vlasec DELPHIN Queen Carp ružový";"8,95";"1";"8,95";"4,35";"23";"1";"7,61";"25";
"90688";"555";"Vlasec DELPHIN Queen Carp ružový";"9,50";"1";"9,50";"4,59";"23";"1";"8,08";"25";
"90689";"555";"Vlasec DELPHIN Queen Carp ružový";"9,95";"1";"9,95";"4,87";"23";"1";"8,46";"25";
"90692";"555";"Vlasec DELPHIN Queen Carp ružový";"12,95";"1";"12,95";"6,65";"23";"1";"11,01";"25";
"90693";"555";"Vlasec DELPHIN Queen Carp ružový";"13,95";"1";"13,95";"6,92";"23";"1";"11,86";"25";
"14499";"556";"Plávacia vesta Aquarius Standard";"29,73";"1";"29,73";"21,00";"23";"1";"29,73";"10";
"14501";"556";"Plávacia vesta Aquarius Standard";"29,73";"1";"29,73";"21,00";"23";"1";"29,73";"10";
"14503";"556";"Plávacia vesta Aquarius Standard";"29,90";"1";"29,90";"21,00";"23";"1";"29,90";"10";
"56202";;"Partikel MIVARDI Method Krill";"6,14";"1";"6,14";"3,30";"23";"1";"5,53";"10";
"83615";"557";"Olovo FOX Edges Impact Inline";"2,69";"1";"2,69";"1,30";"23";"1";"2,69";;
"83616";"557";"Olovo FOX Edges Impact Inline";"2,89";"1";"2,89";"1,40";"23";"1";"2,89";;
"104336";;"Kobra STARBAITS LCR Carbon 20/ 24 mm";"55,95";"1";"55,95";"25,23";"23";"1";"55,95";;
"92725";"558";"Jig DELPHIN Tyre s držiakom";"3,80";"1";"3,80";"1,84";"23";"1";"3,23";"25";
"92726";"558";"Jig DELPHIN Tyre s držiakom";"3,80";"1";"3,80";"1,84";"23";"1";"3,23";"25";
"92727";"558";"Jig DELPHIN Tyre s držiakom";"3,80";"1";"3,80";"1,84";"23";"1";"3,23";"25";
"92728";"558";"Jig DELPHIN Tyre s držiakom";"4,00";"1";"4,00";"1,96";"23";"1";"3,40";"25";
"92729";"558";"Jig DELPHIN Tyre s držiakom";"5,50";"1";"5,50";"2,58";"23";"1";"4,68";"25";
"92732";"558";"Jig DELPHIN Tyre s držiakom";"4,19";"1";"4,19";"2,05";"23";"1";"3,56";"25";
"92733";"558";"Jig DELPHIN Tyre s držiakom";"4,40";"1";"4,40";"2,16";"23";"1";"3,74";"25";
"92734";"558";"Jig DELPHIN Tyre s držiakom";"5,50";"1";"5,50";"2,61";"23";"1";"4,68";"25";
"92735";"558";"Jig DELPHIN Tyre s držiakom";"5,95";"1";"5,95";"2,90";"23";"1";"5,06";"25";
"92736";"558";"Jig DELPHIN Tyre s držiakom";"4,50";"1";"4,50";"2,21";"23";"1";"3,83";"25";
"92737";"558";"Jig DELPHIN Tyre s držiakom";"4,50";"1";"4,50";"2,21";"23";"1";"3,83";"25";
"92738";"558";"Jig DELPHIN Tyre s držiakom";"5,95";"1";"5,95";"2,90";"23";"1";"5,06";"25";
"92739";"558";"Jig DELPHIN Tyre s držiakom";"6,49";"1";"6,49";"3,12";"23";"1";"5,52";"25";
"92741";"558";"Jig DELPHIN Tyre s držiakom";"4,80";"1";"4,80";"2,37";"23";"1";"4,08";"25";
"92742";"558";"Jig DELPHIN Tyre s držiakom";"4,80";"1";"4,80";"2,37";"23";"1";"4,08";"25";
"92743";"558";"Jig DELPHIN Tyre s držiakom";"6,49";"1";"6,49";"3,12";"23";"1";"5,52";"25";
"92744";"558";"Jig DELPHIN Tyre s držiakom";"6,49";"1";"6,49";"3,12";"23";"1";"5,52";"25";
"92746";"558";"Jig DELPHIN Tyre s držiakom";"5,50";"1";"5,50";"2,61";"23";"1";"4,68";"25";
"92748";"558";"Jig DELPHIN Tyre s držiakom";"6,95";"1";"6,95";"3,49";"23";"1";"5,91";"25";
"92749";"558";"Jig DELPHIN Tyre s držiakom";"4,80";"1";"4,80";"2,42";"23";"1";"4,08";"25";
"92751";"558";"Jig DELPHIN Tyre s držiakom";"6,95";"1";"6,95";"3,49";"23";"1";"5,91";"25";
"92754";"558";"Jig DELPHIN Tyre s držiakom";"6,95";"1";"6,95";"3,49";"23";"1";"5,91";"25";
"92757";"558";"Jig DELPHIN Tyre s držiakom";"6,49";"1";"6,49";"3,21";"23";"1";"5,52";"25";
"92760";"558";"Jig DELPHIN Tyre s držiakom";"8,95";"1";"8,95";"4,58";"23";"1";"7,61";"25";
"92765";"558";"Jig DELPHIN Tyre s držiakom";"8,50";"1";"8,50";"4,28";"23";"1";"7,23";"25";
"92770";"558";"Jig DELPHIN Tyre s držiakom";"7,50";"1";"7,50";"3,74";"23";"1";"6,38";"25";
"100723";;"Nástraha ROBINSON Ripper Longinus, 18 cm, Pearl Blue";"4,30";"1";"4,30";"1,98";"23";"1";"4,30";;
"33347";;"Boilie MIKBAITS Maniaq NutraKrill, 30 mm, 300 g";"7,20";"1";"7,20";"5,49";"23";"1";"7,20";"10";
"66876";"559";"Nástraha BLACK CAT Battle Teaser Silent";"17,37";"1";"17,37";"5,67";"23";"1";"17,37";;
"66878";"559";"Nástraha BLACK CAT Battle Teaser Silent";"22,50";"1";"22,50";"7,17";"23";"1";"22,50";;
"56219";;"Booster MIVARDI Method gel, Scopex & Vanilka";"4,29";"1";"4,29";"2,36";"23";"1";"3,86";"10";
"99732";"560";"Mikina OKFISH, olivová";"28,65";"1";"28,65";"13,34";"23";"1";"28,65";;
"99733";"560";"Mikina OKFISH, olivová";"28,65";"1";"28,65";"13,34";"23";"1";"28,65";;
"99736";"560";"Mikina OKFISH, olivová";"28,65";"1";"28,65";"13,34";"23";"1";"28,65";;
"104353";;"Navijak STARBAITS Tron 10000 FD";"93,95";"1";"93,95";"42,36";"23";"1";"93,95";;
"75383";"561";"Jig KAMATSU Micro Special 3 ks";"1,60";"1";"1,60";"1,00";"23";"1";"1,60";;
"75386";"561";"Jig KAMATSU Micro Special 3 ks";"1,49";"1";"1,49";"0,86";"23";"1";"1,49";;
"75388";"561";"Jig KAMATSU Micro Special 3 ks";"1,75";"1";"1,75";"1,25";"23";"1";"1,75";;
"33366";;"Boilie MIKBAITS X-Class Krill, 4 kg";"29,00";"1";"29,00";"20,82";"23";"1";"29,00";"10";
"66906";;"Plandavka QUANTUM Bloody Inliner 8g, Pearl/ Yellow";"7,43";"1";"7,43";"0,99";"23";"1";"7,43";;
"14806";"562";"Štít KOLIBRI Dodger malý";"97,38";"1";"97,38";"71,25";"23";"1";"97,38";"10";
"14807";"562";"Štít KOLIBRI Dodger malý";"95,01";"1";"95,01";"71,25";"23";"1";"95,01";"10";
"14808";"562";"Štít KOLIBRI Dodger malý";"120,00";"1";"120,00";"90,00";"23";"1";"120,00";"10";
"83686";"563";"Tepláky FOX Collection Lightweight Jogger Green Black";"32,99";"1";"32,99";"17,05";"23";"1";"32,99";;
"83687";"563";"Tepláky FOX Collection Lightweight Jogger Green Black";"32,99";"1";"32,99";"17,05";"23";"1";"32,99";;
"83695";"563";"Tepláky FOX Collection Lightweight Jogger Green Black";"32,99";"1";"32,99";"17,05";"23";"1";"32,99";;
"83727";"563";"Tepláky FOX Collection Lightweight Jogger Green Black";"32,99";"1";"32,99";"17,05";"23";"1";"32,99";;
"75524";;"Rovnátka MISTRALL hnedé";"1,40";"1";"1,40";"0,73";"23";"1";"1,40";;
"90797";;"Okuliare DELPHIN SG Atoma";"22,95";"1";"22,95";"11,81";"23";"1";"19,51";"25";
"14823";;"Spevňovací pásik ULOW Liquid Patch";"1,60";"1";"1,60";"1,20";"23";"1";"1,60";"10";
"56260";"564";"Úchyt MIVARDI Sure-Lok Rest";"8,19";"1";"8,19";"3,88";"23";"1";"7,37";"10";
"56261";"564";"Úchyt MIVARDI Sure-Lok Rest";"8,19";"1";"8,19";"3,88";"23";"1";"7,37";"10";
"83717";;"Hrnček FOX Collection Ceramic Mug Green Black";"8,99";"1";"8,99";"3,95";"23";"1";"8,99";;
"104392";;"Vobler GUNKI Knifehead 68 SP DR, Mud Chart";"10,50";"1";"10,50";"4,55";"23";"1";"10,50";;
"41893";"565";"Obratlíky GIANTS FISHING Rolling Swivel";"1,14";"1";"1,14";"0,54";"23";"1";"1,14";;
"41894";"565";"Obratlíky GIANTS FISHING Rolling Swivel";"1,14";"1";"1,14";"0,54";"23";"1";"1,14";;
"41895";"565";"Obratlíky GIANTS FISHING Rolling Swivel";"1,07";"1";"1,07";"0,49";"23";"1";"1,07";;
"41896";"565";"Obratlíky GIANTS FISHING Rolling Swivel";"1,07";"1";"1,07";"0,51";"23";"1";"1,07";;
"41897";"565";"Obratlíky GIANTS FISHING Rolling Swivel";"0,98";"1";"0,98";"0,45";"23";"1";"0,98";;
"41898";"565";"Obratlíky GIANTS FISHING Rolling Swivel";"0,98";"1";"0,98";"0,45";"23";"1";"0,98";;
"41899";"565";"Obratlíky GIANTS FISHING Rolling Swivel";"0,98";"1";"0,98";"0,47";"23";"1";"0,98";;
